# Sun May 02 15:08:50 GMT+02:00 2021
Value;Unit;Type;Overloaded
1.7453;V;DC;
1.7453;V;DC;
1.7453;V;DC;
1.7453;V;DC;
1.7453;V;DC;
1.7453;V;DC;
1.7453;V;DC;
1.7453;V;DC;
1.7452;V;DC;
1.7452;V;DC;
1.7452;V;DC;
1.7452;V;DC;
1.7452;V;DC;
1.7452;V;DC;
1.7452;V;DC;
1.7452;V;DC;
1.7452;V;DC;
1.7452;V;DC;
1.7451;V;DC;
1.7451;V;DC;
1.7452;V;DC;
1.7452;V;DC;
1.7451;V;DC;
1.7451;V;DC;
1.7451;V;DC;
1.7451;V;DC;
1.7451;V;DC;
1.7451;V;DC;
1.7451;V;DC;
1.7451;V;DC;
1.7451;V;DC;
1.7451;V;DC;
1.7451;V;DC;
1.7451;V;DC;
1.7451;V;DC;
1.7451;V;DC;
1.7450;V;DC;
1.7450;V;DC;
1.7450;V;DC;
1.7450;V;DC;
1.7451;V;DC;
1.7451;V;DC;
1.7450;V;DC;
1.7450;V;DC;
1.7450;V;DC;
1.7450;V;DC;
1.7450;V;DC;
1.7450;V;DC;
1.7450;V;DC;
1.7449;V;DC;
1.7450;V;DC;
1.7450;V;DC;
1.7449;V;DC;
1.7450;V;DC;
1.7449;V;DC;
1.7449;V;DC;
1.7450;V;DC;
1.7449;V;DC;
1.7450;V;DC;
1.7449;V;DC;
1.7449;V;DC;
1.7449;V;DC;
1.7449;V;DC;
1.7449;V;DC;
1.7448;V;DC;
1.7448;V;DC;
1.7449;V;DC;
1.7449;V;DC;
1.7449;V;DC;
1.7449;V;DC;
1.7448;V;DC;
1.7448;V;DC;
1.7448;V;DC;
1.7448;V;DC;
1.7449;V;DC;
1.7449;V;DC;
1.7449;V;DC;
1.7449;V;DC;
1.7449;V;DC;
1.7449;V;DC;
1.7449;V;DC;
1.7449;V;DC;
1.7448;V;DC;
1.7448;V;DC;
1.7448;V;DC;
1.7448;V;DC;
1.7448;V;DC;
1.7448;V;DC;
1.7448;V;DC;
1.7448;V;DC;
1.7448;V;DC;
1.7448;V;DC;
1.7448;V;DC;
1.7448;V;DC;
1.7448;V;DC;
1.7448;V;DC;
1.7447;V;DC;
1.7447;V;DC;
1.7447;V;DC;
1.7447;V;DC;
1.7447;V;DC;
1.7447;V;DC;
1.7447;V;DC;
1.7447;V;DC;
1.7447;V;DC;
1.7447;V;DC;
1.7447;V;DC;
1.7447;V;DC;
1.7447;V;DC;
1.7447;V;DC;
1.7447;V;DC;
1.7447;V;DC;
1.7446;V;DC;
1.7446;V;DC;
1.7447;V;DC;
1.7447;V;DC;
1.7446;V;DC;
1.7446;V;DC;
1.7446;V;DC;
1.7446;V;DC;
1.7446;V;DC;
1.7446;V;DC;
1.7446;V;DC;
1.7446;V;DC;
1.7446;V;DC;
1.7446;V;DC;
1.7446;V;DC;
1.7446;V;DC;
1.7446;V;DC;
1.7446;V;DC;
1.7445;V;DC;
1.7445;V;DC;
1.7446;V;DC;
1.7446;V;DC;
1.7445;V;DC;
1.7445;V;DC;
1.7445;V;DC;
1.7445;V;DC;
1.7445;V;DC;
1.7445;V;DC;
1.7445;V;DC;
1.7445;V;DC;
1.7445;V;DC;
1.7445;V;DC;
1.7445;V;DC;
1.7445;V;DC;
1.7445;V;DC;
1.7445;V;DC;
1.7445;V;DC;
1.7445;V;DC;
1.7444;V;DC;
1.7444;V;DC;
1.7444;V;DC;
1.7444;V;DC;
1.7444;V;DC;
1.7444;V;DC;
1.7444;V;DC;
1.7444;V;DC;
1.7444;V;DC;
1.7444;V;DC;
1.7444;V;DC;
1.7444;V;DC;
1.7444;V;DC;
1.7444;V;DC;
1.7444;V;DC;
1.7444;V;DC;
1.7444;V;DC;
1.7444;V;DC;
1.7444;V;DC;
1.7444;V;DC;
1.7444;V;DC;
1.7444;V;DC;
1.7443;V;DC;
1.7443;V;DC;
1.7443;V;DC;
1.7443;V;DC;
1.7443;V;DC;
1.7443;V;DC;
1.7443;V;DC;
1.7443;V;DC;
1.7443;V;DC;
1.7443;V;DC;
1.7443;V;DC;
1.7443;V;DC;
1.7443;V;DC;
1.7443;V;DC;
1.7443;V;DC;
1.7443;V;DC;
1.7442;V;DC;
1.7442;V;DC;
1.7443;V;DC;
1.7443;V;DC;
1.7443;V;DC;
1.7443;V;DC;
1.7442;V;DC;
1.7442;V;DC;
1.7442;V;DC;
1.7442;V;DC;
1.7442;V;DC;
1.7442;V;DC;
1.7442;V;DC;
1.7442;V;DC;
1.7442;V;DC;
1.7442;V;DC;
1.7442;V;DC;
1.7442;V;DC;
1.7442;V;DC;
1.7442;V;DC;
1.7441;V;DC;
1.7441;V;DC;
1.7441;V;DC;
1.7441;V;DC;
1.7441;V;DC;
1.7441;V;DC;
1.7441;V;DC;
1.7441;V;DC;
1.7441;V;DC;
1.7441;V;DC;
1.7441;V;DC;
1.7441;V;DC;
1.7441;V;DC;
1.7441;V;DC;
1.7441;V;DC;
1.7441;V;DC;
1.7441;V;DC;
1.7441;V;DC;
1.7440;V;DC;
1.7440;V;DC;
1.7440;V;DC;
1.7440;V;DC;
1.7440;V;DC;
1.7440;V;DC;
1.7440;V;DC;
1.7440;V;DC;
1.7441;V;DC;
1.7441;V;DC;
1.7440;V;DC;
1.7440;V;DC;
1.7440;V;DC;
1.7440;V;DC;
1.7440;V;DC;
1.7440;V;DC;
1.7440;V;DC;
1.7440;V;DC;
1.7439;V;DC;
1.7440;V;DC;
1.7440;V;DC;
1.7439;V;DC;
1.7440;V;DC;
1.7439;V;DC;
1.7439;V;DC;
1.7440;V;DC;
1.7439;V;DC;
1.7439;V;DC;
1.7439;V;DC;
1.7439;V;DC;
1.7439;V;DC;
1.7439;V;DC;
1.7439;V;DC;
1.7439;V;DC;
1.7438;V;DC;
1.7438;V;DC;
1.7438;V;DC;
1.7438;V;DC;
1.7438;V;DC;
1.7438;V;DC;
1.7439;V;DC;
1.7439;V;DC;
1.7438;V;DC;
1.7438;V;DC;
1.7438;V;DC;
1.7438;V;DC;
1.7438;V;DC;
1.7438;V;DC;
1.7438;V;DC;
1.7438;V;DC;
1.7438;V;DC;
1.7438;V;DC;
1.7438;V;DC;
1.7438;V;DC;
1.7437;V;DC;
1.7437;V;DC;
1.7438;V;DC;
1.7438;V;DC;
1.7437;V;DC;
1.7437;V;DC;
1.7437;V;DC;
1.7437;V;DC;
1.7437;V;DC;
1.7437;V;DC;
1.7437;V;DC;
1.7437;V;DC;
1.7437;V;DC;
1.7437;V;DC;
1.7437;V;DC;
1.7437;V;DC;
1.7437;V;DC;
1.7437;V;DC;
1.7437;V;DC;
1.7437;V;DC;
1.7437;V;DC;
1.7437;V;DC;
